0.000000000000000000e+00,0.000000000000000000e+00
2.083333333333333218e-02,0.000000000000000000e+00
4.166666666666666435e-02,3.625073002444224555e-07
6.250000000000000000e-02,7.313049754053036090e-06
8.333333333333332871e-02,2.982214812104467915e-05
1.041666666666666574e-01,7.316899271562320726e-05
1.250000000000000000e-01,1.533324845668126209e-04
1.458333333333333148e-01,2.828746456326786292e-04
1.666666666666666574e-01,4.653021532686508208e-04
1.875000000000000000e-01,7.305183118054998101e-04
2.083333333333333148e-01,1.105484617275981959e-03
2.291666666666666574e-01,1.571830632009753098e-03
2.500000000000000000e-01,2.108990665225103991e-03
2.708333333333333148e-01,2.745910459448452651e-03
2.916666666666666297e-01,3.519794313729039410e-03
3.125000000000000000e-01,4.419532020733623473e-03
3.333333333333333148e-01,5.426845341288183064e-03
3.541666666666666297e-01,6.572827045910176538e-03
3.750000000000000000e-01,7.897127611184709059e-03
3.958333333333333148e-01,9.391266902792251223e-03
4.166666666666666297e-01,1.103924460266874318e-02
4.375000000000000000e-01,1.287245695515966751e-02
4.583333333333333148e-01,1.492808407477783095e-02
4.791666666666666297e-01,1.719382810119119212e-02
5.000000000000000000e-01,1.964642486718469125e-02
5.208333333333332593e-01,2.229220074423325648e-02
5.416666666666666297e-01,2.512174757257724239e-02
5.625000000000000000e-01,2.809480169985533946e-02
5.833333333333332593e-01,3.118791442537614464e-02
6.041666666666666297e-01,3.439732105626570891e-02
6.250000000000000000e-01,3.769072654103321901e-02
6.458333333333332593e-01,4.103020444468678113e-02
6.666666666666666297e-01,4.442691384645255231e-02
6.875000000000000000e-01,4.790010999544582621e-02
7.083333333333332593e-01,5.142075922124764858e-02
7.291666666666666297e-01,5.495134964345409212e-02
7.500000000000000000e-01,5.850329897195419293e-02
7.708333333333332593e-01,6.209646822644716846e-02
7.916666666666666297e-01,6.570274838600889677e-02
8.125000000000000000e-01,6.928478748775911134e-02
8.333333333333332593e-01,7.285293847999670114e-02
8.541666666666666297e-01,7.642497865948719160e-02
8.750000000000000000e-01,7.996986803524809562e-02
8.958333333333332593e-01,8.344837843344223016e-02
9.166666666666666297e-01,8.687043256506143951e-02
9.375000000000000000e-01,9.025405722734183844e-02
9.583333333333332593e-01,9.356987410877734557e-02
9.791666666666666297e-01,9.678201444948561494e-02
1.000000000000000000e+00,9.990389632845544932e-02
1.020833333333333259e+00,1.029564737782093647e-01
1.041666666666666519e+00,1.059124704025431185e-01
1.062500000000000000e+00,1.087371269014730385e-01
1.083333333333333259e+00,1.114447527696778711e-01
1.104166666666666519e+00,1.140572174739744316e-01
1.125000000000000000e+00,1.165486783574901930e-01
1.145833333333333259e+00,1.188861777343621501e-01
1.166666666666666519e+00,1.210853751953646362e-01
1.187500000000000000e+00,1.231690982705118953e-01
1.208333333333333259e+00,1.251119547284661737e-01
1.229166666666666519e+00,1.268811559516617449e-01
1.250000000000000000e+00,1.284928947466685845e-01
1.270833333333333259e+00,1.299714295738419734e-01
1.291666666666666519e+00,1.313019340272682800e-01
1.312500000000000000e+00,1.324733205534996128e-01
1.333333333333333259e+00,1.335247051046621614e-01
1.354166666666666519e+00,1.345029351476507706e-01
1.375000000000000000e+00,1.354065455729023260e-01
1.395833333333333259e+00,1.362259311044181631e-01
1.416666666666666519e+00,1.370003984982826051e-01
1.437500000000000000e+00,1.377772448291221530e-01
1.458333333333333259e+00,1.385554148722983048e-01
1.479166666666666519e+00,1.393241141267513028e-01
1.500000000000000000e+00,1.400992975147792585e-01
1.520833333333333259e+00,1.408791360898168921e-01
1.541666666666666519e+00,1.416391143016794696e-01
1.562500000000000000e+00,1.423785634610955642e-01
1.583333333333333259e+00,1.431019842703145362e-01
1.604166666666666519e+00,1.437746184837335739e-01
1.625000000000000000e+00,1.443659936748526162e-01
1.645833333333333259e+00,1.448952330684181999e-01
1.666666666666666519e+00,1.453895396685804253e-01
1.687500000000000000e+00,1.458271591651982280e-01
1.708333333333333259e+00,1.461782840510555403e-01
1.729166666666666519e+00,1.464612636624079423e-01
1.750000000000000000e+00,1.467026528362507243e-01
1.770833333333333259e+00,1.468805591992537740e-01
1.791666666666666519e+00,1.469656235786253595e-01
1.812500000000000000e+00,1.469770839904467885e-01
1.833333333333333259e+00,1.469426014466883035e-01
1.854166666666666519e+00,1.468412830424180582e-01
1.875000000000000000e+00,1.466445121845365018e-01
1.895833333333333259e+00,1.463670916080953843e-01
1.916666666666666519e+00,1.460253783901738212e-01
1.937500000000000000e+00,1.455858704626594169e-01
1.958333333333333259e+00,1.450075567967560597e-01
1.979166666666666519e+00,1.442987721892473596e-01
2.000000000000000000e+00,1.434763482625378839e-01
2.020833333333333037e+00,1.425083691052773938e-01
2.041666666666666519e+00,1.413557093607615556e-01
2.062500000000000000e+00,1.400282475137314131e-01
2.083333333333333037e+00,1.385444573240855737e-01
2.104166666666666519e+00,1.368803593143252673e-01
2.125000000000000000e+00,1.350126123822169844e-01
2.145833333333333037e+00,1.329673352753661941e-01
2.166666666666666519e+00,1.307786881826952241e-01
2.187500000000000000e+00,1.284320539900023761e-01
2.208333333333333037e+00,1.259053863673511853e-01
2.229166666666666519e+00,1.232252236975273502e-01
